accepted_name,scientific_name,taxonomic_status,family,broader,synonym_matches,establishment_means,count_RG,count_needs_id,in_park_START,voucher_START,iNat_RG_START,in_park_END,voucher_END,iNat_RG_END,old_voucher,recent_voucher,final_list,possibly_valid_needs_ID,iNat_outcome,iNat_outcome_detailed,parks_outcome,parks_outcome_detailed,voucher_outcome,voucher_outcome_detailed,voucher_obs,voucher_obs_to_1990,voucher_obs_coord,year_first,first_observer,year_last,first_iNat_observer,first_iNat_date,last_iNat_observer,last_iNat_date,iNat_year_first,iNat_year_last,vouches_from_gbif_only,iNat_needs_ID_only_verdict,symbiota,iNat_missing_in_gbif,use_as_example,location_notes,notes,iNat_notes,range_notes,voucher_links,species added during manual voucher searches,iNat_needs_ID_only,iNat_needsID_only_notes,taxonomic_concerns,first_record-manual,last_record-manual
Botrychium yaaxudakeit,Botrychium yaaxudakeit,current,Ophioglossaceae,1.ferns/primitive,,native,,,1,,,1,1,,,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",1,,1,2007,"Colwell, Alison",2007,,,,,,,,,in Symbiota,,,Virginia Cyn,iNat: Canada only; Taylor: voucher from head Viriginia Cyn - discusses disjunct pop,,,,"add, found during search of CCH2 for species in iNat, parks list",,,,2007,2007
Botrychium yaaxudakeit,Sceptridium multifidum,current,Ophioglossaceae,1.ferns/primitive,Botrychium multifidum,native,14,1,,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,"retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name",retain exact name,retain exact name,33,32,20,1915,"Labouchere, Theodore",2007,cathychambers,8/11/2014,thomastaylor1,8/11/2023,2014,2023,,,in Symbiota,,,various,,,,,,,,,1915,2007
Sceptridium multifidum,Botrychium multifidum,synonym,Ophioglossaceae,1.ferns/primitive,Sceptridium multifidum,native,,,1,,,synonym,synonym,synonym,1,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,,,,cathychambers,8/11/2014,thomastaylor1,8/11/2023,2014,2023,,,,,,,,,,,,,,,,
Polypodium californicum,Polypodium californicum,current,Polypodiaceae,1.ferns/primitive,,native,,5,1,,,1,1,,1,,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,geographic error,"add, coordinates erroneously outside protected area or missing coordinates",2,2,,1941,"Keck, David D.",1965,,,,,,,,,in Symbiota,,,,"2 CCH vouchers - 1941 (HH), 1965 (Arch Rock); not in Taylor",,,,"add, found during search of CCH2 for species in iNat, parks list",,,,1941,1965
Polypodium calirhiza,Polypodium calirhiza,current,Polypodiaceae,1.ferns/primitive,,native,,,1,1,,1,1,,1,,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,4,4,1,1924,"Michael, Enid",1983,,,,,,,,,in Symbiota,,,,,,,,,,,,1924,1983
Polypodium glycyrrhiza,Polypodium glycyrrhiza,current,Polypodiaceae,1.ferns/primitive,,native,,,1,,,,,,,,,,XX-not in graphics,"XX-not in iNat, not in protected area",databasing discrepancy,"remove, designated as 'False Report'",XX-not in graphics,"XX-no voucher, not in protected area",,,,,,,,,,,,,,,,,,,Taylor: mentions name misapplied to plants in area; CCHL no vouchers,,,,,,,,N/A,N/A
Polypodium hesperium,Polypodium hesperium,current,Polypodiaceae,1.ferns/primitive,,native,,,1,1,,1,1,,1,,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,2,2,2,1947,"Sharsmith, Carl W.",1983,,,,,,,,,in Symbiota,,,,CCH: 3 old vouchers,,,,,,,,1947,1983
Polypodium vulgare,Polypodium vulgare,current,Polypodiaceae,1.ferns/primitive,,N/A,,,,,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",XX-not in graphics,"XX-voucher with 'coordinates erroneously outside protected area or missing coordinates' found, but rejected due to 'incorrect identification'; not in protected area",2,2,,1958,"Rodin, Robert J.",1958,,,,,,,,,,,,,,,,,,,,,,
Polystichum scopulinum,Polystichum scopulinum,current,Polypodiaceae,1.ferns/primitive,,native,,,,,,,1,,1,,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",XX-not in graphics,"XX-not on parks list, but occurs in protected area",taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",1,1,1,1939,"Butts, Edward C.",1939,,,,,,,,,,,,,,,,,"add, found during search of CCH2 by locality name",,,,,
Adiantum aleuticum,Adiantum aleuticum,current,Pteridaceae,1.ferns/primitive,Adiantum pedatum var. aleuticum,native,39,,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,21,19,9,1878,unknown,2007,jmaughn,9/22/2007,plbuttercup,11/24/2023,2007,2023,,,in Symbiota,,,,First published in Rhodora 93: 112 (1991),,,,,,,,,
Adiantum aleuticum,Adiantum pedatum,misapplied,Pteridaceae,1.ferns/primitive,misapplied to Adiantum aleuticum,out-of-range,,,,1,,misapplied,misapplied,misapplied,1,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",taxonomic or nomenclatural error,"remove, misapplied name",,,,,,,jmaughn,9/22/2007,plbuttercup,11/24/2023,2007,2023,,,,,,,"iNat: east coast only, where it is very common; not in CA on POWO either; but lots and lots of pre-1956 vouchers from  CCH, so must have been a split at some point; per Taylor misapplied",,,,,,,taxonomic_mismatch-split,1889,1969
Adiantum jordanii,Adiantum jordanii,current,Pteridaceae,1.ferns/primitive,,native,,,1,,,1,,,1,,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain because vouchers for species are close to the park,retain because vouchers for species are close to the park,XX-not in graphics,"XX-vouchers missed due to 'undetected synonyms' found, but rejected due to 'untraced taxonomic error'",1,1,1,1875,"McLean, F. P.",1875,,,,,,,,,in Symbiota,,,,"iNat: Coast Range and very low elevation Sierra; Taylor: 1875 Yosemite Valley voucher the highest range record; he seems to trust this, but voucher just says ""Yosemite"" - and in 1875 that might well be outside the park",,wrong range-Coast Range and much lower elevation Sierra,,,,,,1875,1875
Aspidotis californica,Aspidotis californica,current,Pteridaceae,1.ferns/primitive,Hemionitis californica,native,,1,,1,,1,1,,1,1,1,possibly valid needs ID,XX-not in graphics,"XX-not in iNat, but occurs in protected area","retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name",retain exact name,retain exact name,9,8,7,1888,"Congdon, Joseph Whipple",2003,,,,,,,,,in Symbiota,,,,"CCH: lots of older vouchers + 1 recent one, along western park boundary",,,,,,,,,
Aspidotis californica,Hemionitis californica,synonym,Pteridaceae,1.ferns/primitive,Aspidotis californica,native,,,1,,,synonym,synonym,synonym,,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspidotis densa,Aspidotis densa,current,Pteridaceae,1.ferns/primitive,Hemionitis densa,native,52,3,,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,"retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name",retain exact name,retain exact name,70,67,37,1863,"Brewer, William Henry",2014,barbaraparris,12/19/1981,dexterbanjo,12/28/2023,1981,2023,,,in Symbiota,,,,,,,,,,,,,
Aspidotis densa,Hemionitis densa,synonym,Pteridaceae,1.ferns/primitive,Aspidotis densa,native,,,1,,,synonym,synonym,synonym,1,1,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,,,,barbaraparris,12/19/1981,dexterbanjo,12/28/2023,1981,2023,,,,,,,,,,,,,,,,
Cryptogramma acrostichoides,Cryptogramma acrostichoides,current,Pteridaceae,1.ferns/primitive,,native,43,14,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,51,50,32,1878,"Bradley, C. B.",2007,sacha,8/21/2003,dennisronsse,11/3/2023,2003,2023,,,in Symbiota,,,,,,,,,,,,,
Cryptogramma cascadensis,Cryptogramma cascadensis,current,Pteridaceae,1.ferns/primitive,,native,,,1,,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",4,3,1,1866,"Bolander, Henry Nicholas",2007,,,,,,,,,,,,yes,"iNat: multiple vouchers just outside the park, including one of mine on Gale Peak within a few 100 m of park; Taylor: voucher on DAFF dome; many more vouchers just east of park; only voucher in CCH2 with coordinates maybe just added from Jepson?",,,,"add, found during search of CCH2 for species in iNat, parks list",,,,1866,2007
Myriopteris clevelandii,Myriopteris clevelandii,current,Pteridaceae,1.ferns/primitive,,N/A,,,,,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",XX-not in graphics,"XX-voucher with 'coordinates erroneously outside protected area or missing coordinates' found, but rejected due to 'incorrect identification'; not in protected area",1,1,1,1915,"Gibbons, Mary S.",1915,,,,,,,,,,,,,,,,,,,,,,
Myriopteris cooperae,Myriopteris cooperae,current,Pteridaceae,1.ferns/primitive,,native,,,,,,,1,,1,,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",XX-not in graphics,"XX-not on parks list, but occurs in protected area",geographic error,"add, coordinates erroneously outside protected area or missing coordinates",2,2,,1897,"Hutchings, Miss C.",1965,,,,,,,,,,,,,,,,,"add, found during search of CCH2 by locality name",,,,,
Myriopteris covillei,Myriopteris covillei,current,Pteridaceae,1.ferns/primitive,Hemionitis covillei,native,9,9,,1,1,1,1,1,1,,1,,retain exact name,retain exact name,"retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name",retain exact name,retain exact name,14,14,7,1890,"Congdon, Joseph Whipple",1965,greenrosettas,4/12/2014,barbara1143,12/5/2022,2014,2022,,,in Symbiota,,,,,,,,,,,,,
Myriopteris covillei,Hemionitis covillei,synonym,Pteridaceae,1.ferns/primitive,Myriopteris covillei,native,,,1,,,synonym,synonym,synonym,,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,,,,greenrosettas,4/12/2014,barbara1143,12/5/2022,2014,2022,,,,,,,,,,,,,,,,
Myriopteris gracilis,Myriopteris gracilis,current,Pteridaceae,1.ferns/primitive,,native,,,,,1,,,x,,,,,identification error,"remove, incorrect identification",XX-not in graphics,"XX-not on parks list, not in protected area",XX-not in graphics,"XX-no voucher, not in protected area",,,,,,,,,,,,,,,,,,,,"ONLY iNat observation outside of the desert, but IDed by fern expert - I've messaged him to askâ€¦; identifier agrees he was wrong - ""I've re-evaluated my earlier identification after a nudge by @lizzywenk. (Thank you Lizzy.) The leaves appear a little more hairy than is typical for M. intertexta, but that could be the lighting and angle of the photo. The granite substrate is diagnostic. M. gracilis only occurs on calcareous rocks. M. intertexta is common on the granite rocks at Yosemite."" https://www.inaturalist.org/observations/124506001",,,,,,,N/A,N/A
Myriopteris gracillima,Myriopteris gracillima,current,Pteridaceae,1.ferns/primitive,Hemionitis gracillima,native,18,2,,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,"retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name",retain exact name,retain exact name,36,34,22,1863,"Brewer, William Henry",2015,henicorhina,8/26/2009,velodrome,11/24/2023,2009,2023,,,in Symbiota,,,,,,,,,,,,1863,1963
Myriopteris gracillima,Hemionitis gracillima,synonym,Pteridaceae,1.ferns/primitive,Myriopteris gracillima,native,,,1,,,synonym,synonym,synonym,,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,,,,henicorhina,8/26/2009,velodrome,11/24/2023,2009,2023,,,,,,,,,,,,,,,,
Myriopteris intertexta,Myriopteris intertexta,current,Pteridaceae,1.ferns/primitive,Hemionitis intertexta,native,8,6,,1,1,1,1,1,1,,1,,retain exact name,retain exact name,"retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name",retain exact name,retain exact name,8,8,4,1878,"Bradley, C. B.",1975,frondsinhighplaces,10/21/2009,coloradobeck,8/9/2023,2009,2023,,,in Symbiota,,,"Yosemite Valley, Arch Rock",,,,,,,,,1878,1975
Myriopteris intertexta,Hemionitis intertexta,synonym,Pteridaceae,1.ferns/primitive,Myriopteris intertexta,native,,,1,,,synonym,synonym,synonym,,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,,,,frondsinhighplaces,10/21/2009,coloradobeck,8/9/2023,2009,2023,,,,,,,,,,,,,,,,
Myriopteris myriophylla,Cheilanthes myriophylla,current,Pteridaceae,1.ferns/primitive,,N/A,,,,1,,,,,,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",taxonomic or nomenclatural error,"remove, untraced taxonomic error",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pellaea andromedifolia,Pellaea andromedifolia,current,Pteridaceae,1.ferns/primitive,Hemionitis andromedifolia,native,7,,,1,1,1,1,1,1,,1,,retain exact name,retain exact name,"retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name",retain exact name,retain exact name,6,6,4,1944,"Sharsmith, Carl W.",1965,heathersmith,5/22/2016,maram,5/24/2023,2016,2023,,,in Symbiota,,,,,,,,,,,,,
Pellaea andromedifolia,Hemionitis andromedifolia,synonym,Pteridaceae,1.ferns/primitive,Pellaea andromedifolia,native,,,1,,,synonym,synonym,synonym,,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,,,,heathersmith,5/22/2016,maram,5/24/2023,2016,2023,,,,,,,,,,,,,,,,
Pellaea breweri,Pellaea breweri,current,Pteridaceae,1.ferns/primitive,Hemionitis breweri,native,4,,,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,"retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name",retain exact name,retain exact name,27,25,13,1866,"Rattan, Volney",2005,arkstorm,6/3/2021,silversea_starsong,10/7/2023,2021,2023,,,in Symbiota,,,,,,,,,,,,1876,2005
Pellaea breweri,Hemionitis breweri,synonym,Pteridaceae,1.ferns/primitive,Pellaea breweri,native,,,1,,,synonym,synonym,synonym,,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,,,,arkstorm,6/3/2021,silversea_starsong,10/7/2023,2021,2023,,,,,,,,,,,,,,,,
Pellaea bridgesii,Pellaea bridgesii,current,Pteridaceae,1.ferns/primitive,Hemionitis bridgesii,native,91,2,,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,"retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name",retain exact name,retain exact name,71,66,46,1863,"Brewer, William Henry",2005,barbaraparris,12/20/1981,kristymorrow,10/31/2023,1981,2023,,,in Symbiota,,,,,,,,,,,,,
Pellaea bridgesii,Hemionitis bridgesii,synonym,Pteridaceae,1.ferns/primitive,Pellaea bridgesii,native,,,1,,,synonym,synonym,synonym,,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,,,,barbaraparris,12/20/1981,kristymorrow,10/31/2023,1981,2023,,,,,,,,,,,,,,,,
Pellaea glaciogena,Pellaea glaciogena,current,Pteridaceae,1.ferns/primitive,,native,,,,,,,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",XX-not in graphics,"XX-not on parks list, but occurs in protected area",taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",8,7,5,1878,"Bradley, C. B.",2005,,,,,,,,,,,,,,,,,"add, found during search of CCH2 by locality name",,,,,
Pellaea mucronata,Pellaea mucronata,current,Pteridaceae,1.ferns/primitive,Hemionitis mucronata,native,95,3,1,1,1,1,1,1,1,,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,53,53,27,1869,"Hooker, J. D.",1971,barbaraparris,12/19/1981,zihanwei,2/13/2024,1981,2024,,,in Symbiota,,,,,,,,,,,,,
Pellaea mucronata,Pellaea brachyptera,misapplied,Pteridaceae,1.ferns/primitive,misapplied to Pellaea mucronata,out-of-range,,,,1,,misapplied,misapplied,misapplied,1,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",taxonomic or nomenclatural error,"remove, misapplied name",,,,,,,barbaraparris,12/19/1981,zihanwei,2/13/2024,1981,2024,,,,,,"Yosemite Valley, Hetch Hetchy","iNat: Coast and mountains north of Tahoe; CCH: 3 old vouchers (1929 Tenaya Lake Trail, 1915 Vernal Falls, 1940 north Hetch Hetchy Dam); Taylor: name misapplied to Pellaea mucronata individuals",,,,,,,taxonomic_mismatch-misapplied,1915,1940
Pellaea mucronata,Hemionitis mucronata,synonym,Pteridaceae,1.ferns/primitive,Pellaea mucronata,native,,,1,,,synonym,synonym,synonym,1,,,,XX-synonym,XX-synonym,taxonomic or nomenclatural error,"remove, double or triple listing due to synonymy",XX-synonym,XX-synonym,,,,,,,barbaraparris,12/19/1981,zihanwei,2/13/2024,1981,2024,,,,,,,on park list as both old and new name,,,,,,,,,
Pellaea mucronata,Pellaea atropurpurea,synonym,Pteridaceae,1.ferns/primitive,Pellaea mucronata,out-of-range,,,,1,,synonym,synonym,synonym,,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",taxonomic or nomenclatural error,"remove, double or triple listing due to synonymy",,,,,,,barbaraparris,12/19/1981,zihanwei,2/13/2024,1981,2024,,,,,,,"no CCH2 vouchers; 5 gbif, 4 from Academy of Natural Sciences of Drexel University , 1 from Tennessee - in gbif resolve to Pellaea mucronata",,"East Coast species, with furtherest extent central Arizona",,,,,,1878,1938
Pellaea truncata,Pellaea truncata,current,Pteridaceae,1.ferns/primitive,Hemionitis truncata (2018 name),native,,,,1,,,,,,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",geographic error,"remove, coordinates erroneously inside protected area",,,,,,,,,,,,,,,,,,,"only CCH voucher, Heller 1908, El Portal; not in Taylor; gbif, from Natural History Museum London, labeled ""Mariposa; Nearest Named Place: Sierra Nevada "" - with coordinates near Harriet Lake!; iNat: Arizona and surrounding deserts",,,,,,,,,
Pentagramma pallida,Pentagramma pallida,current,Pteridaceae,1.ferns/primitive,Hemionitis pallida,native,,,,1,,1,1,,1,,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area","retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name",retain exact name,retain exact name,3,3,1,1946,"Keck, David D.",1958,,,,,,,,,in Symbiota,,,,"vouchers on Old Coulterville Road, near Arch Rock, Hetch Hetchy, all pre-1958",,"Sierra foothills, extending to well documented population around El Portal",,,,,,1946,1958
Pentagramma pallida,Hemionitis pallida,synonym,Pteridaceae,1.ferns/primitive,Pentagramma pallida,native,,,1,,,synonym,synonym,synonym,,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pentagramma triangularis,Pentagramma triangularis,current,Pteridaceae,1.ferns/primitive,Hemionitis triangularis (2018 name),native,21,9,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,16,15,4,1875,"McLean, F. P.",2001,greenrosettas,4/12/2014,velodrome,11/24/2023,2014,2023,2001 in gbif,,in Symbiota,,,"Yosemite Valley, Arch Rock",,,,,,,,,1875,1965
Azolla filiculoides,Azolla filiculoides,current,Salviniaceae,1.ferns/primitive,,N/A,,,,1,,,,,,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",geographic error,"remove, coordinates erroneously inside protected area",,,,,,,,,,,,,,,,,,,"part of collection labels ""gift CNPS southern Sierra Foothills and San Joaquin Valley specimens 2008 (received April 2020); perennial "", elevation 268 meters, and just Mariposa County.; in Taylor - much lower elevation",,,,,,,,N/A,N/A
Selaginella bigelovii,Selaginella bigelovii,current,Selaginellaceae,1.ferns/primitive,,N/A,,,,1,,,,,,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",taxonomic or nomenclatural error,"remove, untraced taxonomic error",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selaginella hansenii,Selaginella hansenii,current,Selaginellaceae,1.ferns/primitive,,native,16,6,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,15,13,6,1902,"Bacon, Mrs. D. G.",2009,frondsinhighplaces,10/23/2009,zihanwei,2/13/2024,2009,2024,,,in Symbiota,,,"Hetch Hetchy, Yosemite Valley",,,,,,,,,1902,2009
Selaginella wallacei,Selaginella wallacei,current,Selaginellaceae,1.ferns/primitive,,N/A,,,,1,,,,,,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",taxonomic or nomenclatural error,"remove, untraced taxonomic error",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selaginella watsonii,Selaginella watsonii,current,Selaginellaceae,1.ferns/primitive,,native,29,3,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,41,40,25,1907,"Ware, Robert A.",2005,martine_lapointe,9/16/2008,silversea_starsong,10/7/2023,2008,2023,,,in Symbiota,,,,,,,,,,,,,
Woodsia oregana,Woodsia oregana,current,Woodsiaceae,1.ferns/primitive,,native,,,1,,,1,,,,,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain because vouchers for species are close to the park,retain because vouchers for species are close to the park,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,,,,,,,,,,in Symbiota,,,,CCH: no vouchers in park (2 well to west); iNat: all observations east of crest; Taylor: no mention,,"wrong range-Tahoe, eastern Sierra, 1 voucher along Stansilaus River",,,,,,N/A,N/A
Woodsia scopulina,Woodsia scopulina,current,Woodsiaceae,1.ferns/primitive,Physematium scopulinum,native,,1,1,,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",23,22,10,1866,"Bolander, Henry Nicholas",2005,,,,,,,,,in Symbiota,,iNat/gbif use diff names,,,,,,"add, found during search of CCH2 for species in iNat, parks list",,,,1883,2005
Woodsia scopulina,Physematium scopulinum,synonym,Woodsiaceae,1.ferns/primitive,Woodsia scopulina,native,,,,1,,synonym,synonym,synonym,,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",taxonomic or nomenclatural error,"remove, double or triple listing due to synonymy",,,,,,,,,,,,,,,,,,,"synonym - different name in CCH/gbif vs iNat, park",,,,,,,duplicate name-half implemented,N/A,N/A
Calocedrus decurrens,Calocedrus decurrens,current,Cupressaceae,2.gymnosperm,,native,473,123,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,42,40,28,1869,"Canby, William M.",2019,stjohnw,5/3/2007,brookshooks,2/12/2024,2007,2024,2019 in gbif,,in Symbiota,,,,,,,,,,,,,
Cupressus macrocarpa,Hesperocyparis macrocarpa,current,Cupressaceae,2.gymnosperm,,N/A,,,,1,,,,,,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",geographic error,"remove, coordinates erroneously inside protected area",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juniperus communis,Juniperus communis,current,Cupressaceae,2.gymnosperm,,native,4,,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,9,7,8,1933,"McMinn, H. E.",2005,leef,9/10/2018,kees_hood,8/3/2022,2018,2022,,,in Symbiota,,,,,,,,,,,,1933,2005
Juniperus grandis,Juniperus grandis,current,Cupressaceae,2.gymnosperm,Juniperus occidentalis,native,179,44,,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,"retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name",retain exact name,retain exact name,38,37,20,1865,"Torrey, John",2001,tsirtalis,9/20/2001,julien9uwr,10/24/2023,2001,2023,,,in Symbiota,,,,,,,,,,,,1896,1969
Juniperus grandis,Juniperus occidentalis,synonym,Cupressaceae,2.gymnosperm,Juniperus grandis,native,,,1,,,synonym,synonym,synonym,1,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,,,,tsirtalis,9/20/2001,julien9uwr,10/24/2023,2001,2023,,,,,,,,,,,,,,,,
Juniperus osteosperma,Juniperus osteosperma,current,Cupressaceae,2.gymnosperm,,,,1,,,,needsID-IGNORE,needsID-IGNORE,needsID-IGNORE,,,,,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,,,,,,,,,,,,,,remove,,,,,,,,,,"either a misID of eg J. grandis, or a planted specimen (from along carpark)",,,,
Sequoiadendron giganteum,Sequoiadendron giganteum,current,Cupressaceae,2.gymnosperm,,native,1082,40,1,1,1,1,1,1,1,,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,38,37,22,1880,"Cleveland, Daniel",1987,rolandwirth,4/10/1988,gabe_schp,2/10/2024,1988,2024,,,in Symbiota,,,sequoia groves,,,,,,,,,1880,1987
Ephedra viridis,Ephedra viridis,current,Ephedraceae,2.gymnosperm,,N/A,,,,1,,,,,,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",geographic error,"remove, coordinates erroneously inside protected area",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abies concolor,Abies concolor,current,Pinaceae,2.gymnosperm,,native,134,60,1,1,1,1,1,1,1,,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,39,27,29,1882,"Congdon, Joseph Whipple",1981,charadrius,7/20/2006,naturewithnevett,2/3/2024,2006,2024,,,in Symbiota,,,,,,,,,,,,1882,1981
Abies magnifica,Abies magnifica,current,Pinaceae,2.gymnosperm,,native,56,50,1,1,1,1,1,1,1,,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,23,23,13,1876,"Lemmon, John G.",1973,charadrius,6/11/2008,dexterbanjo,12/31/2023,2008,2023,,,in Symbiota,,,"montane, subalpine",,,,,,,,,1888,1973
Pinus albicaulis,Pinus albicaulis,current,Pinaceae,2.gymnosperm,,native,40,47,1,1,1,1,1,1,1,,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,21,21,17,1898,"Congdon, Joseph Whipple",1972,spifferella,6/13/2010,mitchm44,8/25/2023,2010,2023,,,in Symbiota,,,,,,,,,,,,1898,1969
