accepted_name,family,broader,establishment_means,taxonID,park_list,voucher_exists,iNat_RG_record_exists
Chaenactis douglasii,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/62682,1,1,1
Chaenactis glabriuscula,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/57923,1,1,1
Chrysothamnus viscidiflorus,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/76329,,1,1
Cirsium andersonii,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/69971,1,1,1
Cirsium occidentale,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/52621,1,1,1
Cirsium scariosum,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/76357,1,1,1
Cirsium tioganum,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/160635,1,1,
Cirsium vulgare,Asteraceae,3.dicot,introduced,https://www.inaturalist.org/taxa/52989,1,1,1
Coreopsis lanceolata,Asteraceae,3.dicot,introduced,https://www.inaturalist.org/taxa/76444,1,,
Corethrogyne filaginifolia,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/58014,1,1,1
Crepis acuminata,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/76471,1,1,
Crepis capillaris,Asteraceae,3.dicot,introduced,https://www.inaturalist.org/taxa/54050,1,1,
Crepis intermedia,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/76474,1,1,1
Crepis occidentalis,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/76478,1,,
Deinandra kelloggii,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/76615,1,1,
Dieteria canescens,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/76655,1,1,1
Doellingeria breweri,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/1266313,1,1,1
Ericameria arborescens,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/63924,1,1,1
Ericameria bloomeri,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/76879,1,1,1
Ericameria cuneata,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/57970,1,1,1
Ericameria discoidea,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/60845,1,1,1
Ericameria nauseosa,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/57934,1,1,1
Ericameria parryi,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/76891,1,1,1
Ericameria suffruticosa,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/68561,1,1,1
Erigeron algidus,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/76895,1,1,1
Erigeron annuus,Asteraceae,3.dicot,introduced,https://www.inaturalist.org/taxa/76897,1,1,
Erigeron barbellulatus,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/76900,1,1,
Erigeron breweri,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/76905,1,1,1
Erigeron canadensis,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/76907,1,1,1
Erigeron clokeyi,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/76910,1,1,
Erigeron compositus,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/76912,1,1,1
Erigeron coulteri,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/76914,1,1,1
Erigeron divergens,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/59752,1,1,
Erigeron eatonii,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/76915,1,1,
Erigeron elmeri,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/76917,1,1,
Erigeron foliosus,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/57972,1,1,
Erigeron glacialis,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/76920,1,1,1
Erigeron linearis,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/76926,1,1,
Erigeron lonchophyllus,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/76927,1,1,
